Units processed;Start;Stop;;;;;
1;0.02.31;0.03.38;;;;;
2;0.04.43;0.06.01;;;;;
3;0.06.24;0.08.04;;;;;
4;0.08.06;0.09.37;;;;;
5;0.09.38;0.10.57;;;;;
6;0.10.59;0.12.13;;;;;
7;0.12.17;0.13.15;;;;;
8;0.13.16;0.14.31;;;;;
9;0.01.03;0.02.11;;;;;
10;0.02.18;0.03.51;;;;;
11;0.03.54;0.05.28;;;;;
12;0.05.30;0.06.54;;;;;
13;0.06.56;0.08.11;;;;;
14;0.08.14;0.09.38;;;;;
15;0.09.59;0.11.10;;;;;
16;0.11.22;0.12.44;;;;;
17;0.13.03;0.14.59;;;;;
18;0.15.05;0.16.23;;;;;
19;0.17.15;0.18.07;;;;;
20;0.18.38;0.19.52;;;;;
21;0.20.09;0.21.06;;;;;
22;0.22.05;0.23.21;;;;;
23;0.27.11;0.28.29;;;;;
24;0.30.45;0.32.11;;;;;
25;0.32.44;0.34.08;;;;;
26;0.36.53;0.37.43;;;;;
27;0.38.21;0.39.14;;;;;
28;0.42.45;0.43.41;;;;;
29;0.45.06;0.46.06;;;;;
30;0.46.30;0.47.54;;;;;
31;0.48.10;0.49.16;;;;;
32;0.49.20;0.51.23;;;;;
33;0.51.30;0.52.51;;;;;
34;0.54.02;0.54.59;;;;;
35;0.55.26;0.56.19;;;;;
36;0.56.48;0.57.56;;;;;
37;0.59.38;1.00.45;;;;;
38;1.01.17;1.02.10;;;;;
39;1.03.40;1.04.45;;;;;
40;1.04.47;1.06.00;;;;;
41;1.07.29;1.08.26;;;;;
42;1.09.32;1.10.18;;;;;
43;1.11.00;1.12.07;;;;;
44;1.12.15;1.13.12;;;;;
45;1.13.29;1.14.27;;;;;
46;1.14.30;1.15.22;;;;;
47;1.15.30;1.16.14;;;;;
48;1.16.37;1.17.40;;;;;
49;1.18.02;1.18.49;;;;;
50;1.19.12;1.20.22;;;;;
51;1.21.03;1.21.57;;;;;
52;1.22.21;1.23.27;;;;;
53;1.23.31;1.24.36;;;;;
54;1.25.17;1.26.08;;;;;
55;1.26.41;1.27.22;;;;;
56;1.27.55;1.28.51;;;;;
57;1.29.28;1.30.42;;;;;
58;1.30.50;1.31.38;;;;;
59;1.31.56;1.33.04;;;;;
60;0.00.00;0.00.26;;;;;
61;0.00.46;0.01.30;;;;;
62;0.01.59;0.02.41;;;;;
63;0.02.52;0.03.25;;;;;
64;0.03.40;0.04.34;;;;;
65;0.04.37;0.05.48;;;;;
66;0.05.49;0.06.27;;;;;
67;0.06.29;0.07.32;;;;;
68;0.07.51;0.08.44;;;;;
69;0.08.47;0.09.27;;;;;
70;0.09.38;0.10.58;;;;;
71;0.11.00;0.12.00;;;;;
72;0.12.01;0.12.50;;;;;
73;0.13.07;0.13.54;;;;;
74;0.13.57;0.14.57;;;;;
75;0.15.01;0.16.02;;;;;
76;0.16.03;0.16.48;;;;;
77;0.16.50;0.17.36;;;;;
78;0.17.42;0.19.13;;;;;
79;0.19.14;0.19.53;;;;;
80;0.20.12;0.20.54;;;;;
81;0.21.29;0.22.36;;;;;
82;0.22.44;0.23.25;;;;;
83;0.23.49;0.24.36;;;;;
84;0.24.50;0.25.32;;;;;
85;0.25.34;0.25.57;;;;;
86;0.26.09;0.27.05;;;;;
87;0.27.08;0.28.13;;;;;
88;0.28.15;0.29.02;;;;;
89;0.29.03;0.29.52;;;;;
90;0.29.53;0.30.47;;;;;
91;0.30.59;0.31.40;;;;;
92;0.31.56;0.32.39;;;;;
93;0.33.01;0.33.45;;;;;
94;0.33.54;0.34.44;;;;;
95;0.35.10;0.35.52;;;;;
96;0.36.09;0.36.59;;;;;
97;0.37.07;0.37.53;;;;;
98;0.38.13;0.39.08;;;;;
99;0.39.10;0.40.00;;;;;
100;0.40.20;0.41.22;;;;;
101;0.41.24;0.42.20;;;;;
102;0.42.24;0.43.07;;;;;
103;0.43.24;0.44.14;;;;;
104;0.44.46;0.45.29;;;;;
105;0.45.53;0.46.54;;;;;
106;0.46.56;0.47.49;;;;;
107;0.47.51;0.48.38;;;;;
108;0.48.41;0.49.26;;;;;
109;0.49.38;0.50.18;;;;;
110;0.50.21;0.51.08;;;;;
111;0.51.32;0.52.29;;;;;
112;0.52.42;0.53.20;;;;;
113;0.53.29;0.54.19;;;;;
114;0.54.36;0.55.20;;;;;
115;0.55.31;0.56.28;;;;;
116;0.56.34;0.57.15;;;;;
117;0.00.41;0.01.24;;;;;
118;0.01.46;0.02.26;;;;;
119;0.02.50;0.03.30;;;;;
120;0.04.00;0.04.37;;;;;
121;0.05.18;0.06.09;;;;;
122;0.06.22;0.07.13;;;;;
123;0.07.45;0.08.28;;;;;
124;0.08.41;0.09.16;;;;;
125;0.09.53;0.10.43;;;;;
126;0.11.00;0.11.52;;;;;
127;0.12.00;0.12.40;;;;;
128;0.13.06;0.13.45;;;;;
129;0.14.13;0.15.11;;;;;
130;0.15.27;0.16.16;;;;;
131;0.16.39;0.17.28;;;;;
132;0.17.49;0.18.20;;;;;
133;0.18.38;0.19.33;;;;;
134;0.19.43;0.20.26;;;;;
135;0.20.44;0.21.24;;;;;
136;0.21.40;0.22.21;;;;;
137;0.22.34;0.23.17;;;;;
138;0.23.50;0.24.47;;;;;
139;0.25.06;0.25.45;;;;;
140;0.26.09;0.26.53;;;;;
141;0.27.25;0.28.06;;;;;
142;0.28.30;0.29.10;;;;;
143;0.29.43;0.30.35;;;;;
144;0.30.51;0.31.39;;;;;
145;0.31.50;0.32.35;;;;;
146;0.33.03;0.33.50;;;;;
147;0.33.53;0.34.46;;;;;
148;0.34.57;0.35.53;;;;;
149;0.35.54;0.36.19;;;;;
150;0.37.18;0.37.57;;;;;
151;0.38.24;0.39.02;;;;;
152;0.39.24;0.40.08;;;;;
153;0.40.24;0.41.19;;;;;
154;0.41.32;0.42.24;;;;;
155;0.42.45;0.43.37;;;;;
156;0.43.52;0.44.47;;;;;
157;0.44.55;0.45.50;;;;;
158;0.45.56;0.46.45;;;;;
159;0.46.56;0.47.47;;;;;
160;0.48.02;0.48.53;;;;;
161;0.49.44;0.50.26;;;;;
162;0.51.10;0.51.46;;;;;
163;0.51.56;0.52.42;;;;;
164;0.52.53;0.53.54;;;;;
165;0.54.03;0.54.42;;;;;
166;0.54.50;0.55.51;;;;;
167;0.55.53;0.56.46;;;;;
168;0.56.54;0.57.31;;;;;
169;0.57.57;0.58.57;;;;;
170;0.58.59;0.59.42;;;;;
171;1.00.16;1.01.07;;;;;
172;1.01.37;1.02.19;;;;;
173;1.02.45;1.03.31;;;;;
174;1.03.42;1.04.30;;;;;
175;1.04.56;1.05.33;;;;;
176;1.05.53;1.06.34;;;;;
177;1.06.46;1.07.27;;;;;
178;1.07.55;1.08.37;;;;;
179;1.09.02;1.09.44;;;;;
180;1.10.11;1.10.50;;;;;
181;1.11.22;1.12.23;;;;;
182;1.12.57;1.13.31;;;;;
183;1.13.48;1.14.30;;;;;
184;1.14.52;1.15.34;;;;;
185;1.15.36;1.16.55;;;;;
186;1.17.00;1.17.40;;;;;
187;1.17.48;1.18.21;;;;;
188;1.18.43;1.19.20;;;;;
189;1.19.57;1.20.31;;;;;
190;1.22.22;1.23.01;;;;;
191;1.23.12;1.23.56;;;;;
192;1.23.59;1.24.39;;;;;
193;1.24.53;1.24.32;;;;;
194;1.25.49;1.26.29;;;;;
195;1.26.48;1.27.29;;;;;
196;1.27.48;1.28.28;;;;;
197;1.29.21;1.29.59;;;;;
198;1.30.33;1.31.20;;;;;
199;1.31.37;1.32.14;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
